Feature	MeanAbsSHAP	model
ECFP_820	0.0077949921310485	LogReg
ECFP_246	0.0077503642854951	LogReg
ECFP_502	0.0077329695914493	LogReg
ECFP_586	0.0077252159116137	LogReg
ECFP_714	0.0077249096	XGB
ECFP_560	0.0077220257213888	LogReg
ECFP_853	0.0077097313	XGB
ECFP_188	0.0077088446206067	LogReg
ECFP_414	0.0077082543	XGB
ECFP_726	0.0077049713675992	RF
ECFP_307	0.0076905591475017	LogReg
ECFP_947	0.0076474801424371	LogReg
ECFP_890	0.0076408773	XGB
ECFP_352	0.007615626302154	LogReg
ECFP_184	0.0075691314	XGB
ECFP_849	0.0075630973526436	RF
ECFP_646	0.0075261653	XGB
ECFP_853	0.0075090772549157	LogReg
ECFP_699	0.007434290667245	LogReg
ECFP_555	0.0074279009569471	LogReg
ECFP_253	0.007341360231158	LogReg
ECFP_769	0.007339287694753	LogReg
ECFP_519	0.0073314385090809	LogReg
ECFP_792	0.0073217503	XGB
ECFP_482	0.0072786532396044	LogReg
ECFP_92	0.0072669954385672	LogReg
ECFP_543	0.0072664203256297	LogReg
ECFP_200	0.007247238095757	LogReg
ECFP_365	0.0072042321694716	LogReg
ECFP_852	0.007195069	XGB
ECFP_324	0.0071869581681974	LogReg
ECFP_100	0.0071795434	XGB
ECFP_349	0.007153653612747	LogReg
ECFP_832	0.0071515068694774	LogReg
ECFP_226	0.0071369412232764	LogReg
ECFP_37	0.0071125744255642	LogReg
ECFP_978	0.007111644	XGB
ECFP_80	0.0071113339715193	RF
ECFP_770	0.0071090734228923	LogReg
ECFP_118	0.0070540349190171	LogReg
ECFP_878	0.0070123578582136	LogReg
ECFP_110	0.0069983281705388	LogReg
ECFP_500	0.0069716719768389	LogReg
ECFP_646	0.006945384761566	LogReg
ECFP_1012	0.006934397	XGB
ECFP_318	0.0069168823357813	LogReg
ECFP_691	0.0069032191514871	LogReg
ECFP_118	0.0068800286	XGB
ECFP_454	0.0068736744667239	LogReg
ECFP_42	0.0068691066	XGB
ECFP_941	0.0068673642135295	LogReg
ECFP_15	0.006825191477864	LogReg
ECFP_761	0.0068249719508466	LogReg
ECFP_607	0.0068232506	XGB
ECFP_944	0.0068098463189657	LogReg
ECFP_189	0.0067587566822535	LogReg
ECFP_345	0.0067542857	XGB
ECFP_661	0.0067398911343754	LogReg
ECFP_249	0.0066998950009577	LogReg
ECFP_274	0.00669633	XGB
ECFP_442	0.0066949517876187	LogReg
ECFP_731	0.0066853068831223	LogReg
ECFP_191	0.0066719285868262	LogReg
ECFP_949	0.006670177	XGB
ECFP_439	0.0066694649825122	LogReg
ECFP_267	0.0066648745	XGB
ECFP_409	0.0066631767971474	LogReg
ECFP_994	0.006649776	XGB
ECFP_792	0.0066424807376423	LogReg
ECFP_131	0.006636119	XGB
ECFP_1006	0.0065988909804653	LogReg
ECFP_310	0.0065920391837845	LogReg
ECFP_173	0.006586337028767	LogReg
ECFP_553	0.0065644087780312	LogReg
ECFP_548	0.0065121820834877	LogReg
ECFP_600	0.006493690891894	LogReg
ECFP_833	0.0064785991636724	LogReg
ECFP_767	0.006454496	XGB
ECFP_583	0.006432162	XGB
ECFP_141	0.0064291005820912	LogReg
ECFP_256	0.006422656	XGB
ECFP_106	0.006412252	XGB
ECFP_665	0.006375297	XGB
ECFP_971	0.0063354451962131	LogReg
ECFP_915	0.0063336593093104	LogReg
