Feature	MeanAbsSHAP_RF
ECFP_355	0.0011664533111949362
ECFP_356	0.011425003961423957
ECFP_357	0.00042236114692422377
ECFP_358	0.00014235527146692578
ECFP_359	0.0002597970486248186
ECFP_360	0.0006290180602960846
ECFP_361	0.0019874695935242727
ECFP_362	0.0018588498087439682
ECFP_363	0.00011218603155727623
ECFP_364	0.00043689822227482796
ECFP_365	0.00048158549794392473
ECFP_366	0.0008587278381043527
ECFP_367	0.003976170699628451
ECFP_368	0.0006955362415481099
ECFP_369	0.000407225446877535
ECFP_370	0.000310764294888713
ECFP_371	0.00047929688859745044
ECFP_372	0.00019201813362616814
ECFP_373	0.00017673260072826867
ECFP_374	0.0003222238563053233
ECFP_375	0.0004468801872887913
ECFP_376	0.0006779837653307437
ECFP_377	0.0002782845464429351
ECFP_378	0.006088989728280582
ECFP_379	0.00020306431609922138
ECFP_380	9.078089834537538e-05
ECFP_381	0.0020466134900070003
ECFP_382	0.00021269721592313617
ECFP_383	0.0018945917787546326
ECFP_384	0.00034280453119694314
ECFP_385	0.0006636964141726869
ECFP_386	0.0006068747608915233
ECFP_387	0.0003798191388824274
ECFP_388	0.0002185054985450651
ECFP_389	0.0011386709404941728
ECFP_390	0.0004888530579144229
ECFP_391	0.00028920615440805803
ECFP_392	0.0016508853080626086
ECFP_393	0.001911888211281247
ECFP_394	0.0007732111364877134
ECFP_395	0.00012305306331035623
ECFP_396	0.00011878698133741778
ECFP_397	0.00032173922031144685
ECFP_398	0.0009522848336120854
ECFP_399	0.0003189659737091766
ECFP_400	0.000176716917331285
ECFP_401	0.00028121998352876454
ECFP_402	0.00014926085491326818
ECFP_403	0.00017654709103919126
ECFP_404	0.00012313269267026763
ECFP_405	0.000148884475646001
ECFP_406	0.0006594947394914774
ECFP_407	0.0007240760040405149
ECFP_408	0.00034548409725324096
ECFP_409	0.0004235564321390304
ECFP_410	0.00015825067509565204
ECFP_411	0.00036426500640244927
ECFP_412	0.00026415634310804955
ECFP_413	0.00032566831431554385
ECFP_414	0.0008917021969338884
ECFP_415	0.00023432252844610848
ECFP_416	0.001430581201882172
ECFP_417	0.0005552802956489435
ECFP_418	8.532005006334207e-05
ECFP_419	0.001522259414458795
ECFP_420	0.0006119568654715002
ECFP_421	0.0003387838041677751
ECFP_422	0.00036762195208546233
ECFP_423	0.0001780895556882156
ECFP_424	0.0001955329613765935
ECFP_425	0.0002491831270027885
ECFP_426	0.0005369083043896391
ECFP_427	0.00013232085607078057
ECFP_428	0.0018746944300224518
ECFP_429	0.0008368293705902788
ECFP_430	0.00030701619463142856
ECFP_431	0.00010126343270058415
ECFP_432	0.0002908063916104161
ECFP_433	0.0009020497150687721
ECFP_434	0.00020763573599817293
ECFP_435	0.0007076943567816575
ECFP_436	0.00023124312830890404
ECFP_437	0.0003282682799708793
ECFP_438	0.00013420541874169668
ECFP_439	0.00032470111256741323
ECFP_440	0.00013444003683987573
ECFP_441	0.000246734942932599
ECFP_442	0.0006064826451047786
ECFP_443	7.836937065809336e-05
ECFP_444	0.0006009256438034496
ECFP_445	0.0009701339380481157
ECFP_446	0.0002875793850205358
ECFP_447	0.0002060365115892249
ECFP_448	0.00028938742338448307
ECFP_449	0.0003930740895769122
ECFP_450	0.0004245553706973297
ECFP_451	0.0014532103328439665
ECFP_452	0.001540449321611062
ECFP_453	0.0009218186176997916
ECFP_454	0.0004999425760500301
ECFP_455	0.0002080242745657942
ECFP_456	0.001766311548376159
ECFP_457	0.0001423427634475923
ECFP_458	0.0017125094237371886
ECFP_459	6.121308512909792e-05
ECFP_460	0.0010779564263041943
ECFP_461	0.0003380087183856415
ECFP_462	0.00010420717911269908
ECFP_463	0.00045410213630776245
ECFP_464	0.0026275365351974746
ECFP_465	0.0009194359007305031
ECFP_466	0.00033006252087138465
ECFP_467	0.00013473512739713573
