Feature	MeanAbsSHAP_LogReg
ECFP_66	0.0013328875781008346
ECFP_67	0.008753984802789608
ECFP_68	0.00232703739170641
ECFP_69	0.002108928126261596
ECFP_70	0.003300505619300867
ECFP_71	0.01272438066829086
ECFP_72	0.003721454098004215
ECFP_73	0.004989062819949342
ECFP_74	0.004034529259688656
ECFP_75	0.00838596823680188
ECFP_76	0.004255864716074932
ECFP_77	0.009772398398485569
ECFP_78	0.01055442139190076
ECFP_79	0.016364296958135786
ECFP_80	0.1557622591339129
ECFP_81	0.0027481958868791163
ECFP_82	0.003738574946617996
ECFP_83	0.002299406313572031
ECFP_84	0.0060101629258113975
ECFP_85	0.0027271176399973353
ECFP_86	0.010754309984724517
ECFP_87	0.0042070643844734365
ECFP_88	0.002083762130259628
ECFP_89	0.002782135547193691
ECFP_90	0.02498519473447538
ECFP_91	0.005533931284021592
ECFP_92	0.0072671421444979335
ECFP_93	0.0030844090077054276
ECFP_94	0.0031490631335359094
ECFP_95	0.0017149321347764035
ECFP_96	0.003997626806655711
ECFP_97	0.004406172332208267
ECFP_98	0.0008145370320248767
ECFP_99	0.0008824888770409669
ECFP_100	0.00898297739137679
ECFP_101	0.0017268584205913189
ECFP_102	0.014615808343624035
ECFP_103	0.0008756308347439712
ECFP_104	0.0033644292686573437
ECFP_105	0.012022375116224258
ECFP_106	0.008803016204776738
ECFP_107	0.00033173233810866265
ECFP_108	0.003194427315144359
ECFP_109	0.012506368881204571
ECFP_110	0.00699817709440947
ECFP_111	0.0020596278975139066
ECFP_112	0.004202075050665057
ECFP_113	0.001346761767132801
ECFP_114	0.00940070092876747
ECFP_115	0.0038900584642102276
ECFP_116	0.004847447942160958
ECFP_117	0.016363012754353066
ECFP_118	0.007054979432349723
ECFP_119	0.0386164912167458
ECFP_120	0.0027633447023612794
ECFP_121	0.02759381018156385
ECFP_122	0.002870359104336017
ECFP_123	0.005080255765901723
ECFP_124	0.00380550493603957
ECFP_125	0.0022161533880011536
ECFP_126	0.003215666282388255
ECFP_127	0.0029815096004076167
ECFP_128	0.04965318459605576
ECFP_129	0.0028269711808028295
ECFP_130	0.004271529274990276
ECFP_131	0.013901092085479086
ECFP_132	0.0015509834588580157
ECFP_133	0.0056754054036913335
ECFP_134	0.002395202198375418
ECFP_135	0.004941687394856514
ECFP_136	0.023934286736047493
ECFP_137	0.0011700054319454453
ECFP_138	0.017930492588901836
ECFP_139	0.01381693285450844
ECFP_140	0.033309349986721346
ECFP_141	0.006429008796771864
ECFP_142	0.0033973766311014486
ECFP_143	0.005402504785794367
ECFP_144	0.012609318620840013
ECFP_145	0.002248650676058843
ECFP_146	0.001630258305943283
ECFP_147	0.0477435755494739
ECFP_148	0.0009180854520910895
ECFP_149	0.0017183995333199971
ECFP_150	0.0029337833779202174
ECFP_151	0.012441655532492343
ECFP_152	0.00793009052725994
ECFP_153	0.0006473575369633167
ECFP_154	0.009499504858100721
ECFP_155	0.0016588257598137562
ECFP_156	0.0006664236039802025
ECFP_157	0.0015018239747942171
ECFP_158	0.0029165305764557114
ECFP_159	0.0015942779915300745
ECFP_160	0.004297891252818936
ECFP_161	0.0005031784643125913
ECFP_162	0.0013053015635482701
ECFP_163	0.00035415434774839873
ECFP_164	0.0025481376617878557
ECFP_165	0.004849154395251095
ECFP_166	0.0031790457028934697
ECFP_167	0.0008382025193169705
ECFP_168	0.002593156149650472
ECFP_169	0.001956930178616145
ECFP_170	0.0010581655020711583
ECFP_171	0.012770285079623134
ECFP_172	0.0013031160167815304
ECFP_173	0.006585937179101696
ECFP_174	0.0046307821106973904
ECFP_175	0.029530943646033647
ECFP_176	0.0010615853555309702
ECFP_177	0.0012278108747292085
ECFP_178	0.0007789047375532938
ECFP_179	0.01697003117914121
ECFP_180	0.0018607437737836457
ECFP_181	0.0018927453687435907
ECFP_182	0.004569386502318225
ECFP_183	0.0007266503155046536
ECFP_184	0.010839273774859128
ECFP_185	0.0058561384231623536
ECFP_186	0.003606991614476839
ECFP_187	0.004784218347195513
ECFP_188	0.007709267527736023
ECFP_189	0.0067578440990288145
ECFP_190	0.0018417379312699778
ECFP_191	0.006671559936129291
ECFP_192	0.009347756108793692
ECFP_193	0.019631256022608432
ECFP_194	0.0037411253810945406
ECFP_195	0.004068904278529127
ECFP_196	0.0028337606008306242
ECFP_197	0.015163759835592603
ECFP_198	0.0021139451638025135
ECFP_199	0.0014369232664370498
ECFP_200	0.007247367991774693
ECFP_201	0.005419714611426037
ECFP_202	0.011596855671481571
ECFP_203	0.00545851197748847
ECFP_204	0.006101981041243299
ECFP_205	0.0015958672967975392
ECFP_206	0.003705116212676129
ECFP_207	0.02565904002371049
ECFP_208	0.0051636591748509915
ECFP_209	0.0010385786310946046
ECFP_210	0.009220886105678335
ECFP_211	0.001153142018144755
ECFP_212	0.00839530064629964
ECFP_213	0.0023949283938090172
ECFP_214	0.013921257156324801
ECFP_215	0.0006287325707283323
ECFP_216	0.01263120007090672
ECFP_217	0.0026603679315378606
ECFP_218	0.002519712430360283
ECFP_219	0.01982013797962746
ECFP_220	0.007894363887188371
ECFP_221	0.009381016527627597
ECFP_222	0.046816839102457895
ECFP_223	0.00038736922351362654
ECFP_224	0.0044471390733432665
ECFP_225	0.01161710061145595
ECFP_226	0.00713721195439449
ECFP_227	0.043059326206030216
ECFP_228	0.004476503744347271
ECFP_229	0.0027563849231335862
ECFP_230	0.0006472500603275534
ECFP_231	0.011772474520018705
ECFP_232	0.0010859156972583609
ECFP_233	0.006212799631482224
ECFP_234	0.0038234706398677064
ECFP_235	0.0035875856208538366
ECFP_236	0.00619279445708659
ECFP_237	0.03712661815022411
ECFP_238	0.0025082929339818923
ECFP_239	0.0037067774866395126
ECFP_240	0.0020998469594429706
ECFP_241	0.0021176580606224117
ECFP_242	0.0024189951088139866
ECFP_243	0.0018490085019745243
ECFP_244	0.001287939397073308
ECFP_245	0.0021263823644767535
ECFP_246	0.007750596719798322
ECFP_247	0.003094559699991449
ECFP_248	0.0009800162912738301
ECFP_249	0.006699516379774807
ECFP_250	0.02303718191096448
ECFP_251	0.003388625590614245
ECFP_252	0.003937794104315397
ECFP_253	0.007342213101231854
ECFP_254	0.0033879687160941036
ECFP_255	0.010777590300857886
ECFP_256	0.010243373847312552
ECFP_257	0.0015912980429896317
ECFP_258	0.003482050747573793
ECFP_259	0.0029511394241924583
ECFP_260	0.0012298041681196633
ECFP_261	0.001971696803824819
ECFP_262	0.002273286317552459
ECFP_263	0.014458468462967083
ECFP_264	0.0019317779060442207
ECFP_265	0.00349624145772911
ECFP_266	0.013008654889707788
ECFP_267	0.010548770336513778
ECFP_268	0.016643891128316372
ECFP_269	0.0021355328156229354
ECFP_270	0.005215402673849723
ECFP_271	0.005479933398465561
ECFP_272	0.0039055564844149007
ECFP_273	0.002117793766930236
ECFP_274	0.006255508740323418
ECFP_275	0.008466468587048102
ECFP_276	0.0017864872766552107
ECFP_277	0.004031401119867986
ECFP_278	0.000855302590889785
ECFP_279	0.0017655734946334604
ECFP_280	0.002372041165034962
ECFP_281	0.005085565767320893
ECFP_282	0.0024633243275212855
ECFP_283	0.019017851863574135
ECFP_284	0.04211102562328127
ECFP_285	0.00514860309238716
ECFP_286	0.0009482635298243443
ECFP_287	0.0018218394206081067
ECFP_288	0.019580066895446162
ECFP_289	0.007964262330511654
ECFP_290	0.0013830961156753546
ECFP_291	0.001486284410359019
ECFP_292	0.0030306866515001597
ECFP_293	0.0021839317352389765
ECFP_294	0.0545428082504127
ECFP_295	0.016257329599398376
ECFP_296	0.0009586937661062285
ECFP_297	0.013412023881271265
ECFP_298	0.011038579282802585
