Feature	MeanAbsSHAP_XGB
ECFP_333	0.02349056
ECFP_334	0.0
ECFP_335	0.0
ECFP_336	0.00741167
ECFP_337	0.0
ECFP_338	0.00033267398
ECFP_339	0.00033724523
ECFP_340	0.0
ECFP_341	0.06604226
ECFP_342	0.015924903
ECFP_343	0.004103749
ECFP_344	0.0
ECFP_345	0.0070188753
ECFP_346	0.0
ECFP_347	0.0
ECFP_348	0.0010138785
ECFP_349	0.0010190429
ECFP_350	0.006283333
ECFP_351	0.0
ECFP_352	0.008527627
ECFP_353	0.0004423054
ECFP_354	0.0030575118
ECFP_355	0.011732886
ECFP_356	0.25136605
ECFP_357	0.00222011
ECFP_358	0.0
ECFP_359	0.00035524654
ECFP_360	0.004596411
ECFP_361	0.01994634
ECFP_362	0.03558906
ECFP_363	0.0
ECFP_364	0.004835083
ECFP_365	0.00043559266
ECFP_366	0.0035299584
ECFP_367	0.08720057
ECFP_368	0.0
ECFP_369	0.0009501038
ECFP_370	0.0013762445
ECFP_371	0.008177347
ECFP_372	0.0
ECFP_373	0.0
ECFP_374	0.002578952
ECFP_375	0.0
ECFP_376	0.0015355631
ECFP_377	0.0
ECFP_378	0.08890866
ECFP_379	0.0
ECFP_380	0.0
ECFP_381	0.060492177
ECFP_382	0.0002767493
ECFP_383	0.028891105
ECFP_384	0.0
ECFP_385	0.0016330812
ECFP_386	0.0065446915
ECFP_387	0.00021413728
ECFP_388	0.0012340018
ECFP_389	0.028450694
ECFP_390	0.0010003751
ECFP_391	0.003341812
ECFP_392	0.06624114
ECFP_393	0.039635327
ECFP_394	0.0
ECFP_395	0.0
ECFP_396	0.0
ECFP_397	0.0017126941
ECFP_398	0.0075777555
ECFP_399	0.0
ECFP_400	0.0
ECFP_401	0.00056002033
ECFP_402	0.0004599165
ECFP_403	0.0
ECFP_404	0.0
ECFP_405	0.0
ECFP_406	0.016709035
ECFP_407	0.030546192
ECFP_408	0.004412384
ECFP_409	0.0016730685
ECFP_410	0.0
ECFP_411	0.000392624
ECFP_412	0.0037344645
ECFP_413	0.0
ECFP_414	0.00818012
ECFP_415	0.0
ECFP_416	0.021017794
